name,last_vacuum,last_autovacuum,last_analyze,last_autoanalyze,rowcount,dead_rowcount,autovacuum_threshold,expect_autovacuum,autoanalyze_threshold,expect_autoanalyze
public.user_report_notification_preferences,"","","","",            -1,             0,            50,no,            50,no
public.user_tag_org,"","","","",            -1,             0,            50,no,            50,no
public.user_time_off,"","","","",            -1,             0,            50,no,            50,no
public.vehicle_odometer_entries,"","","","",            -1,             0,            50,no,            50,no
public.vehicle_possessions,"","","","",            -1,             0,            50,no,            50,no
public.vehicle_replacement_value_entries,"","","","",            -1,             0,            50,no,            50,no
public.vehicles,"","","","",            -1,             0,            50,no,            50,no
public.workflow_step_dependencies,"","","","",            -1,             0,            50,no,            50,no
public.workflow_templates,"","","","",            -1,             0,            50,no,            50,no
public.writeup_templates,"","","","",            -1,             0,            50,no,            50,no
public.writeups,"","","","",            -1,             0,            50,no,            50,no
