name,table_size,index_size,total_size,estimated_row_count,seq_scans
public.writeups,8192 bytes,32 kB,40 kB,0,0
public.common_jobs,8192 bytes,32 kB,40 kB,0,0
public.hours_days_correct,8192 bytes,32 kB,40 kB,0,1
public.user_tag_org,8192 bytes,32 kB,40 kB,0,0
public.mercury_transaction_ar_returned,8192 bytes,32 kB,40 kB,0,0
public.prospect_email_sent,16 kB,16 kB,32 kB,0,0
public.user_dashboard_preferences,16 kB,16 kB,32 kB,0,0
public.mercury_debit_card_nicknames,16 kB,16 kB,32 kB,0,0
public.workflow_templates,16 kB,16 kB,32 kB,0,1
public.salary_work_schedule_templates,16 kB,16 kB,32 kB,0,9
public.user_dashboard_buttons,16 kB,16 kB,32 kB,0,0
public.people_hours_display_order,16 kB,16 kB,32 kB,0,2
public.team_feedback_settings,16 kB,16 kB,32 kB,0,0
public.checklist_tech_tree_roadmaps,16 kB,16 kB,32 kB,0,0
public.user_prospect_copy_templates,16 kB,16 kB,32 kB,0,0
public.people_cost_matrix_tags,16 kB,16 kB,32 kB,0,0
public.vehicle_odometer_entries,0 bytes,32 kB,32 kB,0,0
public.people_teams,16 kB,16 kB,32 kB,0,1
public.estimator_requests,16 kB,16 kB,32 kB,0,1
public.mercury_account_nicknames,16 kB,16 kB,32 kB,0,0
public.fixture_labor_defaults,16 kB,16 kB,32 kB,0,1
public.dispatch_group_members,8192 bytes,16 kB,24 kB,0,2
public.estimator_group_members,8192 bytes,16 kB,24 kB,0,2
public.cost_matrix_teams_shares,8192 bytes,16 kB,24 kB,0,0
public.estimates_thread_notes,8192 bytes,16 kB,24 kB,0,0
public.estimator_request_dismissals,8192 bytes,16 kB,24 kB,0,0
public.salary_work_schedule_day_overrides,8192 bytes,16 kB,24 kB,0,0
public.user_app_activity_viewers,8192 bytes,16 kB,24 kB,0,0
public.dev_read_completed_items,8192 bytes,16 kB,24 kB,0,0
public.people_labels,0 bytes,24 kB,24 kB,0,0
public.dev_ignored_checklist_items,8192 bytes,16 kB,24 kB,0,0
public.checklist_tech_tree_task_assignees,8192 bytes,16 kB,24 kB,0,0
public.writeup_templates,8192 bytes,16 kB,24 kB,0,0
public.report_enabled_users,8192 bytes,16 kB,24 kB,0,3
public.user_report_notification_preferences,0 bytes,24 kB,24 kB,0,0
public.prospect_calling_locks,0 bytes,16 kB,16 kB,0,0
public.cost_matrix_tag_colors,8192 bytes,8192 bytes,16 kB,0,0
public.user_checklist_item_mute_preferences,0 bytes,8192 bytes,8192 bytes,0,0
public.workflow_step_dependencies,0 bytes,8192 bytes,8192 bytes,0,1
public.external_team_sub_managers,0 bytes,8192 bytes,8192 bytes,0,0
